qid;docid;title;abstract
10c7ef19d812f4c1bacecc0ee54d30a8;292049822;Upaya Peningkatan Pengetahuan Remaja dalam Deteksi Dini Kanker Payudara dengan Media Flash Card;"Breast cancer (carcinoma mammae) or in English breast cancer is a condition when body cells have lost control and their normal mechanisms, causing abnormal, rapid and uncontrolled growth of breast tissue. Breast cancer is the most common type of cancer experienced by women with an estimated 2.089 million new cases and 627,000 deaths reported in 2018. Based on these figures, around 15% of all cancer deaths in women. The rate of breast cancer diagnosis in developed countries is higher and continues to increase. While in developing countries breast cancer is also one of the largest contributors to death in women In Indonesia, the highest incidence of cancer for women is breast cancer with a prevalence of 42.1 per 100,000 population with an average death rate of 17 per 100,000 population followed by cervical cancer of 23.4 per 100,000 population with an average death rate of 13.9 per 100,000 population. The purpose of this Community Service activity is that teenagers can implement early detection through breast self-examination with Flash Card Media in Bulusari Village, Sidomulyo, Ampel, Boyolali. The methods used are Lectures, Demonstrations and Q&amp;A. Counseling was carried out to 19 teenage girls in Bulusari Village, Sidomulyo, Ampel, Boyolali. The results showed that 100% of teenage girls were able to perform BSE themselves.
 
ABSTRAK
Kanker payudara (carcinoma mammae) atau dalam bahasa Inggris breast cancer merupakan kondisi saat sel tubuh telah kehilangan kendali dan mekanisme normalnya, sehingga menyebabkan terjadi pertumbuhan jaringan payudara yang tidak normal, cepat dan tidak terkendali. Kanker payudara merupakan jenis penyakit kanker terbanyak yang dialami oleh wanita dengan perkiraan 2,089 juta kasus baru dan 627.000 kematian dilaporkan pada tahun 2018. Berdasarkan angka tersebut sekitar 15% dari semua kematian akibat kanker pada wanita. Tingkat diagnosis kanker payudara di negara maju lebih tinggi dan terus meningkat. Sementara negara berkembang kanker payudara juga merupakan salah satu penyumbang kematian paling banyak  pada wanitaDi Indonesia, angka kejadian kanker untuk wanita yang tertinggi adalah kanker payudara dengan prevalensi sebesar 42,1 per 100.000 penduduk dengan rata-rata kasus kematian 17 per 100.000 penduduk yang diikuti kanker leher rahim sebesar 23,4 per 100.000 penduduk dengan rata-rata kematian 13,9 per 100.000 penduduk. Tujuan dari kegiatan Pengabdian Kepada Masyarakat ini adalah Remaja dapat menerapkan deteksi dini melalui periksa payudara sendiri dengan Media flash Card di Desa Bulusari Sidomulyo Ampel Boyolali Metode yang digunakan adalah Ceramah, Demonstrasi dam tanya jawab. Penyuluhan dilakukan kepada Remaja Putri di Desa Bulusari Sidomulyo Ampel Boyolali  sebanyak 19  Remaja Putri didapatkan hasil bahwa  100 % Remaja Putri sudah dapat melakukan SADARI sendiri. "
10c7ef19d812f4c1bacecc0ee54d30a8;313546133;Autoexamen de mama: previene, actúa y consulta frente al cáncer de mama;"El cáncer de mama es una enfermedad cuya principal característica es la multiplicación de células malignas que se encuentran en la glándula mamaria. Esta patología presenta alteraciones sin control que pueden formar tumores que, al no ser tratados a tiempo, se propagan por todo el cuerpo y pueden causar incluso la muerte (Organización Mundial de la Salud (OMS), 2024). El cáncer en estadio 0 in situ, no es potencialmente mortal y las células cancerosas que se irradian al tejido mamario cercano (invasión) producen nódulos o engrosamiento; si se propaga a los ganglios linfáticos cercanos o a otros órganos, se denomina metástasis y estas pueden ser mortales (OMS, 2024)"
1bc4dce8577f8939ace5bf16d86b1829;297033218;मानसिक स्वास्थ्य एवं आत्महत्या - सामाजिक एवं मनोवैज्ञानिक विश्लेषण;मानसिक स्वास्थ्य व्यक्ति के संपूर्ण जीवन का एक महत्वपूर्ण पहलू है, जोकि उसके विचार, भावनाएँ एवं व्यवहार को प्रभावित करता है। मानसिक स्वास्थ्य स्थिति संतुलित होने पर व्यक्ति जीवन की चुनौतियों का सामना बेहतर ढंग से कर पाता है, जबकि मानसिक विकार उसे अवसाद, चिंता एवं \u27आत्मघाती प्रवृत्ति की ओर धकेल सकते है। हाल के वर्षों में आत्महत्या की घटनाओं में वृद्धि \u27मानसिक स्वास्थ्य संकट की गंभीरता को दर्शाती है। मानसिक स्वास्थ्य एवं ‘आत्महत्या’ के बीच गहरा संबंध है। अवसाद, तनाव, मानसिक विकार एवं मादक पदार्थों की लत आत्महत्या के प्रमुख कारण है। ‘आर्थिक असुरक्षा, सामाजिक अलगाव, पारिवारिक समस्याएँ एवं कार्यस्थल पर उत्पीड़न’ जैसे सामाजिक कारक आत्महत्या की संभावना को बढ़ाते हैं। वहीं बचपन में आधात, कम आत्म-सम्मान एवं निराशा जैसी मनोवैज्ञानिक स्थितियाँ व्यक्ति को आत्महत्या के लिए प्रेरित करती है। आत्महत्या न केवल व्यक्तिगत क्षति है, अपितु परिवार एवं समाज के लिए भी एक भावनात्मक तथा सामाजिक संकट बन जाती है। आत्महत्या के प्रभाव परिवार को भावनात्मक रूप से तोड़ देते हैं तथा समाज में भय एवं असहायता की भावना को जन्म देते हैं। इसके रोकथाम के लिए व्यक्तिगत, सामाजिक एवं सरकारी स्तर पर प्रयास आवश्यक है। अतः इस शोध पत्र का मुख्य उद्देश्य ‘मानसिक स्वास्थ्य’ व आत्महत्या के बीच संबंध का सामाजिक एवं मनोवैज्ञानिक विश्लेषण करना है। यह अध्ययन आत्महत्या के कारणों, प्रभावों एवं रोकथाम के उपायों को समझने में मदद करेगा
253235b2573e803d3d7cb91bbe626407;275578591;PRESERVAÇÃO DO PATRIMÓNIO CULTURAL COMO ESTRATÉGIA DE VALORIZAÇÃO DA IDENTIDADE CULTURAL NAS COMUNIDADES LOCAIS: um estudo de caso da arte makonde - Cidade de Pemba, 2016-2017;In the city of Pemba, cultural heritage represents the set of all goods, popular manifestations, cults, traditions, both material and immaterial, which are recognized according to their ancestry, historical and cultural importance of a region, acquire a unique value and representative survival heard/ stuff. Despite several changes and the external cultural impact on the makonde community, tradition still prevails and integrates the lives of artists who continue to fulfill their duties in society. The study's main objective is to understand how cultural heritage constitutes a strategy for valuing the cultural identity of local communities. The study is of a qualitative and explanatory nature, for the technique and data collection used direct observation, sessions by interviews. Our results conclude that the search for the preservation of cultural identity is the objective of the entire policy of protection of cultural assets. This policy is born out of a commitment to social life, this preservation consists of systematic, preventive or corrective maintenance, which is the best way to preserve any cultural heritage.Na cidade de Pemba, o património cultural representa o conjunto de todos os bens, manifestações populares, cultos, tradições tanto materiais quanto imateriais, que reconhecidos de acordo com a sua ancestralidade, importância histórica e cultural de uma região adquirem um valor único e de durabilidade representativa simbólica/material. Apesar de várias mudanças e pelo impacto cultural exterior na comunidade maconde, a tradição ainda continua a prevalecer e a integrar a vida dos artistas que continuam a cumprir com os seus deveres na sociedade. O estudo tem como principal objectivo compreender como o património cultural constitui estratégia da valorização da identidade cultural das comunidades locais. O estudo é de carácter qualitativo e explicativo, para a técnica e recolha de dados usou-se observação directa, questionários por entrevistas. Os resultados completam que a busca pela preservação da identidade cultural é o objectivo de toda a política de proteção dos bens culturais. Essa política nasce de um comprometimento com a vida social, esta preservação consiste na manutenção sistemática, preventiva ou correctiva sendo esta a melhor maneira de se preservar qualquer património cultural
253235b2573e803d3d7cb91bbe626407;308700944;Protegiendo la herencia cultural Chimbotana: desafíos y estrategias;The revaluation of cultural heritage has been crucial for preserving the historical legacy and improving urban development and quality of life in Chimbote. Throughout its growth, Chimbote has experienced a progressive loss of its cultural recognition, negatively affecting economic, tourist, and social aspects. This research study aimed to identify effective strategies to protect Chimbote\u27s cultural heritage against contemporary challenges through historical research, digital awareness, and collaboration with cultural architecture organizations. Methods such as bibliographic review, field visits, and expert interviews were employed to develop preservation strategies. Ultimately, understanding local history proved essential for an informed and strategic conservation of heritage, strengthening Chimbote\u27s cultural identity and promoting sustainable urban development.La revalorización del patrimonio cultural ha sido crucial para conservar el legado histórico y mejorar el desarrollo urbano y la calidad de vida en Chimbote. A lo largo de su crecimiento, Chimbote ha experimentado una pérdida progresiva de su reconocimiento cultural, afectando negativamente aspectos económicos, turísticos y sociales. Por ello, la presente investigación propuso identificar estrategias efectivas para proteger la herencia cultural de Chimbote frente a los desafíos contemporáneos mediante búsquedas históricas, concientización digital y colaboración de organizaciones de arquitectura cultural. Se emplearon métodos como la revisión bibliográfica, visitas de campo y entrevistas con expertos para desarrollar estrategias de preservación. Finalmente, conocer la historia local resultó esencial para una conservación informada y estratégica del patrimonio, fortaleciendo la identidad cultural Chimbotana y promoviendo un desarrollo urbano sostenibl
253235b2573e803d3d7cb91bbe626407;313476629;DIGITISATION OF THE PROCESS OF PRESERVATION AND PROMOTION OF UKRAINE'S CULTURAL HERITAGE SITES IN THE CONTEXT OF MILITARY ACTION;"У публікації досліджено діджиталізацію процесу збереження та популяризації об’єктів культурної спадщини України. Питання цифровізації та створення цифрових архівів набуло особливої актуальності під час російсько-української війни. В умовах сучасних викликів технології оцифрування об’єктів культурної спадщини України суттєво трансформують підходи до збереження й популяризації пам’яток. Проєкти діджиталізації та створення віртуальних платформ сприяють доступності, вивченню, збереженню автентичності й залученню світової аудиторії до культурної спадщини України.
The publication examines the digitalization of the process of preserving and popularizing cultural heritage objects of Ukraine. The issue of digitalization and creation of digital archives became particularly relevant during the Russian-Ukrainian war. In the face of modern challenges, digitization technologies for cultural heritage sites in Ukraine are significantly transforming approaches to the preservation and promotion of monuments. Digitization projects and the creation of virtual platforms contribute to accessibility, study, preservation of authenticity, and involvement of a global audience in the cultural heritage of Ukraine"
253235b2573e803d3d7cb91bbe626407;314548712;Preserving Intangible Cultural Heritage: Review Approaches and Tools for Documentation;يعد الحفاظ على التراث الثقافي غير المادي وصونه أمرًا بالغ الأهمية للحفاظ على التنوع الثقافي، وتعزيز الحوار بين الثقافات، وتعزيز الشعور بالهوية داخل المجتمعات. تستكشف هذه الورقة مختلف الأساليب والأدوات اللازمة لتوثيق التراث الثقافي غير المادي، مع التركيز على الاستفادة من التقنيات الرقمية؛ فهو يدرس أهمية التراث الثقافي غير المادي، وخصائصه الفريدة، والتحديات المرتبطة بالحفاظ عليه. تناقش الورقة طرق التوثيق التقليدية وتتعمق في الأساليب المبتكرة والأدوات البرمجية الحديثة التي ظهرت في السنوات الأخيرة؛ ويستكشف دور منصات الوسائط المتعددة، والواقع الافتراضي، والواقع المعزز، والاستعانة بمصادر خارجية، والمنهجيات التشاركية في التقاط التراث الثقافي غير المادي والحفاظ عليه ومشاركته. وتسلط الورقة الضوء أيضًا على أهمية الاعتبارات الأخلاقية، ومشاركة المجتمع، والجهود التعاونية في مجال الحفاظ الرقمي على التراث الثقافي غير المادي. ومن خلال دمج الأساليب التقليدية والحديثة، تهدف هذه الورقة إلى تقديم رؤى حول الإستراتيجيات العملية لتوثيق وحماية التراث الثقافي غير المادي في العصر الرقمي.Preserving and safeguarding intangible cultural heritage (ICH) is paramount for maintaining cultural diversity, promoting intercultural dialogue, and fostering a sense of identity within communities. This paper explores various approaches and tools for documenting intangible cultural heritage, with a particular focus on leveraging digital technologies such as multimedia platforms, virtual reality, augmented reality, and modern software tools. It examines the significance of ICH, its unique characteristics, and the challenges associated with its preservation. The paper also discusses traditional documentation methods and delves into the innovative approaches that have emerged in recent years. It explores the role of digital technologies in capturing, preserving, and sharing intangible cultural heritage, and highlights the importance of ethical considerations, community engagement, and collaborative efforts in the digital preservation of ICH. By integrating traditional and modern approaches, this paper aims to provide insights into practical strategies for documenting and safeguarding intangible cultural heritage in the digital age
253235b2573e803d3d7cb91bbe626407;78340673;Cultural Heritage Digitization in Indonesia: A New Perspective on Preserving Depok Colonial Heritage;"Teknologi terkini, seperti fotografi digital, pemindai 3D, dan augmented reality, memberikan alternatif dalam upaya pelestarian situs warisan budaya. Fokus pembahasan dalam artikel ini adalah kelanjutan wacana tentang manfaat pelestarian berbasis digital berdasarkan penerapan pada Proyek Depok Lama. Depok adalah kota yang terletak di Provinsi Jawa Barat yang memiliki beragam jenis bangunan masa kolonial, antara lain permukiman penduduk, gereja, dan jembatan. Namun, studi terbaru menunjukkan hampir 75% bangunan kolonial telah dihancurkan sepanjang satu dasawarsa terakhir akibat aktivitas pembangunan kota dan modernisasi yang cepat. Kami membangun proyek untuk melakukan digitalisasi sejumlah objek warisan budaya di Depok untuk mencegah perusakan lebih lanjut dan membangun informasi tentang pentingnya objek bangunan kolonial kepada publik melalui media digital. Proyek ini merupakan kegiatan multidisiplin yang melibatkan arkeolog, sejarawan, pakar IT, dan masyarakat setempat dalam menciptakan database sistem interaktif mengenai bangunan cagar budaya di Depok. Empat studi dilakukan untuk mengembangkan Proyek Depok Lama, yaitu studi informasi konten, studi perspektif pengguna, konstruksi kerangka desain situs web, dan studi evaluasi. Studi pertama dilakukan untuk mengumpulkan informasi mengenai bangunan bersejarah di Depok Lama. Studi kedua dilakukan untuk menyelidiki presentasi informasi yang disukai oleh pengguna. Studi ketiga berkaitan dengan pengembangan prototipe situs web berdasarkan data dari studi sebelumnya. Studi terakhir adalah untuk mengevaluasi dan meningkatkan prototipe situs web. Hasil menunjukkan bahwa digitalisasi warisan budaya tidak hanya berguna untuk pelestarian tetapi juga mendorong keterlibatan publik dan memfasilitasi materi pengetahuan budaya.
New technologies, such as digital photography, 3D scanner, and augmented reality, provide an alternative to preserve heritage sites. The focal point for this article is to continue the discourse on the advantages of digital preservation based on our work in Depok, called Depok Lama Project. Depok is a city located in West Java Province that has many colonial buildings, such as residential settlements, churches, and bridges. However, a recent study shows almost 75% of colonial buildings have been demolished over the last decade due to city development and rapid modernization. We created a project to digitize the cultural heritage in Depok to prevent further destruction and encourage the importance of the buildings to the public through digital media. This project is a multidisciplinary project that involved archaeologists, historians, IT experts, and the local community in creating an interactive system database regarding heritage buildings in Depok. Four studies were carried out to develop the Depok Lama Project, namely content information study, end-user perspective study, website design framework construction, and evaluation study. The first study was used to collect information regarding the historical buildings at the Old Depok. The second study was conducted to investigate the information presentation preferred by the end-users. The third study concerned the development of a website prototype based on data from previous studies. The final study was to evaluate and enhance the website prototype. The results show that the cultural heritage digitization is not only useful for preservation but also for public engagement and facilitate cultural learning"
253235b2573e803d3d7cb91bbe626407;86360163;Cultural Heritage Digitization in Indonesia: A New Perspective on Preserving Depok Colonial Heritage;"Teknologi terkini, seperti fotografi digital, pemindai 3D, dan augmented reality, memberikan alternatif dalam upaya pelestarian situs warisan budaya. Fokus pembahasan dalam artikel ini adalah kelanjutan wacana tentang manfaat pelestarian berbasis digital berdasarkan penerapan pada Proyek Depok Lama. Depok adalah kota yang terletak di Provinsi Jawa Barat yang memiliki beragam jenis bangunan masa kolonial, antara lain permukiman penduduk, gereja, dan jembatan. Namun, studi terbaru menunjukkan hampir 75% bangunan kolonial telah dihancurkan sepanjang satu dasawarsa terakhir akibat aktivitas pembangunan kota dan modernisasi yang cepat. Kami membangun proyek untuk melakukan digitalisasi sejumlah objek warisan budaya di Depok untuk mencegah perusakan lebih lanjut dan membangun informasi tentang pentingnya objek bangunan kolonial kepada publik melalui media digital. Proyek ini merupakan kegiatan multidisiplin yang melibatkan arkeolog, sejarawan, pakar IT, dan masyarakat setempat dalam menciptakan database sistem interaktif mengenai bangunan cagar budaya di Depok. Empat studi dilakukan untuk mengembangkan Proyek Depok Lama, yaitu studi informasi konten, studi perspektif pengguna, konstruksi kerangka desain situs web, dan studi evaluasi. Studi pertama dilakukan untuk mengumpulkan informasi mengenai bangunan bersejarah di Depok Lama. Studi kedua dilakukan untuk menyelidiki presentasi informasi yang disukai oleh pengguna. Studi ketiga berkaitan dengan pengembangan prototipe situs web berdasarkan data dari studi sebelumnya. Studi terakhir adalah untuk mengevaluasi dan meningkatkan prototipe situs web. Hasil menunjukkan bahwa digitalisasi warisan budaya tidak hanya berguna untuk pelestarian tetapi juga mendorong keterlibatan publik dan memfasilitasi materi pengetahuan budaya.
New technologies, such as digital photography, 3D scanner, and augmented reality, provide an alternative to preserve heritage sites. The focal point for this article is to continue the discourse on the advantages of digital preservation based on our work in Depok, called Depok Lama Project. Depok is a city located in West Java Province that has many colonial buildings, such as residential settlements, churches, and bridges. However, a recent study shows almost 75% of colonial buildings have been demolished over the last decade due to city development and rapid modernization. We created a project to digitize the cultural heritage in Depok to prevent further destruction and encourage the importance of the buildings to the public through digital media. This project is a multidisciplinary project that involved archaeologists, historians, IT experts, and the local community in creating an interactive system database regarding heritage buildings in Depok. Four studies were carried out to develop the Depok Lama Project, namely content information study, end-user perspective study, website design framework construction, and evaluation study. The first study was used to collect information regarding the historical buildings at the Old Depok. The second study was conducted to investigate the information presentation preferred by the end-users. The third study concerned the development of a website prototype based on data from previous studies. The final study was to evaluate and enhance the website prototype. The results show that the cultural heritage digitization is not only useful for preservation but also for public engagement and facilitate cultural learning"
32b77e26bf1e161271a79b443af3b421;304389001;Los problemas de diseño de la política de transporte público urbano sostenible limitan la efectividad de respuesta de la Municipalidad Provincial de Trujillo entre los años 2018 al 2023;"La presente investigación tiene como objetivo principal entender los problemas
recurrentes en el diseño de políticas del transporte público urbano sostenible,
que están afectando la capacidad del gobierno provincial de Trujillo para
responder eficazmente con respecto al incremento de la contaminación,
inseguridad y congestión causadas por la creciente circulación de vehículos
motorizados en la ciudad de Trujillo; enfocándose en cómo estos problemas han
impactado en el bienestar de los residentes de Trujillo entre los años 2018 y
2023.
Se examinaron tres aspectos principales. El primero, es sobre las políticas y los
instrumentos de política pública que definen la estrategia municipal en materia
de transporte urbano sostenible. De otra parte, en el segundo punto, se describe
y comprende los problemas tipo del proceso del diseño de la política de
transporte público urbano sostenible que limitaron al gobierno municipal
provincial de Trujillo, de proporcionar una respuesta eficaz, encontrando como
problemas: la deficiente estructuración del problema público, deficiente
implementación de la instrumentación de la política, deficientes mecanismos de
evaluación y monitoreo, deficiente estructura de implementación y deficiente
gestión de la información. En el tercer punto se aborda los factores políticos,
institucional, social y tecnológico que generan los problemas del diseño de la
política y su consecuente injerencia en la efectiva respuesta del gobierno
municipal en materia de transporte publico sostenible. Para el análisis de los
puntos señalados se ha realizado una aproximación desde la perspectiva del
diseño de la política como marco analítico; y, finalmente las conclusiones se
centran en la explicación del vínculo causal entre los problemas tipo y los
factores que las determinaron y su consecuencia en la eficacia de la respuesta
del gobierno provincial en relación con la política pública transporte urbano
sostenible.The main objective of this research is to understand the recurring problems in the
design of policies for sustainable urban public transport, which are affecting the
ability of the provincial government of Trujillo to respond effectively to the
increase in pollution, insecurity, and congestion caused by the growing circulation
of motorized vehicles in the city of Trujillo. This study focuses on how these issues
have impacted the well-being of Trujillo's residents between 2018 and 2023.
Three main aspects were examined. The first is the policies and public policy
instruments that define the municipal strategy in the realm of sustainable urban
transport. The second aspect describes and understands the typical problems in
the process of designing sustainable urban public transport policies that limited
the Trujillo municipal provincial government from providing an effective response.
These problems include poor problem structuring, inadequate implementation of
policy instruments, deficient evaluation and monitoring mechanisms, poor
implementation structure, and inadequate information management. The third
aspect addresses the political, institutional, social, and technological factors that
contribute to the problems in policy design and their subsequent impact on the
effectiveness of the municipal government's response to sustainable public
transport. For the analysis of these points, a policy design perspective was used
as an analytical framework. Finally, the conclusions focus on explaining the
causal link between the typical problems and the factors determining them, and
their consequences on the effectiveness of the provincial government's response
regarding sustainable urban public transport policy"
