qid	query	title	description	narrative
10c7ef19d812f4c1bacecc0ee54d30a8	breast cancer	Breast cancer Awareness and Prevention	Find documents discussing awareness on breast cancer as well as methods for prevention, including early detection and also risk reduction.	elevant documents discuss breast cancer awareness forms, including education campaigns, screening programs, early detection methods such as self-examination and mammography, and strategies for reducing risk such as lifestyle changes and preventive care. Documents focused only on treatment of breast cancer without discussion of awareness or prevention, general cancer information without specific reference to breast cancer are not relevant.
1bc4dce8577f8939ace5bf16d86b1829	mental health	Mental Well-Being	What affects the mental health of humans and what strategies can improve psychological well-being and prevent mental health disorders?	Relevant documents discuss mental health, psychological well-being, emotional health or mental disorders such as anxiety, depression, stress or burnout. Relevant details include information about causes, risk factors, prevention methods, counseling services, therapy or social support.
220b79bfcc0380e3999edb61a0c103f6	artificial intelligence in education	AI in Education	What research papers discuss the use of artificial intelligence technologies in educational areas? 	Relevant papers include research on the application of artificial intelligence in education, such as platforms that use AI to test students skills and classroom support tools. Papers discussing the effects of Artificial Intelligence on the performance of students, examples of AI products that are being used, are relevant. Papers that focus on artificial intelligence in environments other than education are not relevant. 
253235b2573e803d3d7cb91bbe626407	preserving cultural heritage	How to preserve cultural heritage	How is cultural heritage preserved and what are the methods to achieve a good preservation. 	Relevant documents must include details of how cultural heriatge is preserved, what counts as cultural heritage and which preservation-methods are available. Sustainable ways of preservation and keeping old and new heritage intact. Also which legal frameworks are important to remember. Which elements are vital for maintaining the historical and cultural identity of societies. 
2c19f7bf825bc626b8ec40399ae413f8	coffee shop marketing	Coffee shop marketing	What marketing strategies do successful coffee shops use?	Relevant documents should focus on how coffee shops use marketing strategies to attract customers, increase sales, build brand image, or improve customer loyalty. Documents about coffee preparation, coffee products, or general business issues without a clear coffee shop marketing focus are not relevant.
2cb72c6bf8046051f3e04155984cc99d	financial literacy among students	financial literacy among students	Why should students be financially literate and what could be the potential benefits of it?	Relevant documents must include the viewpoints on financial literacy among students in the form of theories, discoveries, surveys etc. Relevant details must include examples of what happen if financial literacy is encouraged and its long term benefit of the society and country. Relevant documents also include the mindset shift and parents and discussions on financial literacy among students
32b77e26bf1e161271a79b443af3b421	public transport problems	Public Transport Problems Experienced by Users	Find documents about problems experienced by users of public transport systems, including issues affecting accessibility, affordability, reliability and overall travel experience.	Relevant documents discuss problems experienced by users of public transport systems, including issues such as overcrowding, delays, poor service reliability, affordability concerns, safety issues, and negative travel experiences. Documents that discuss public transport infrastructure without reference to user experience, general transportation topics without identifying public transport problems, or private transport issues are not relevant.  
4167db3ceb4e698b81750084e926f71c	social media usage	social media usage	How is social media usage educating and affecting society?	Relevant documents must include news on how social media is being used and its statistics. Relevant details must include the popularity among people, the habits it has developed and its effects. Relevant documents also include how it has shaped society in terms of knowledge and accessibility. Relevant details also include the long-term advantages and disadvantages of social media usage and the ways it should be used.
4880fdf7ff336b249af928cf93f43f0a	peer pressure	Dealing with peer pressure	How can someone deal with peer pressure and stand up for themselves when they feel pressured by others?	Relevant documents must include ways of dealing with peer pressure in school, friend groups or social situations. This includes advice on how to resist pressure, examples of how people say no or ideas on how to stay confident in groups. Also relevant are real life examples or studies about peer pressure and how people react to it.
4ed1037709aa13b70fca0575c1c88c48	food waste management	Sustainable Food Waste Solutions	Which strategies or policies should be introduced to tackle the food waste problem across households, supermarkts and restaurants?	Relevant documents must include details of the causes and impacts of food waste and explore sustainable management practices. Relevant details include information about waste reduction strategies, composting, recycling, properly disposing, descriptions of the systems that reduce environmental impact, the benefits of these methods, and any laws or regulations aimed at enhancing consumer awareness.
562ca7b9a565a1a27f9c71670c9f541e	impulsive online buying	Impulsive online buying behaviour	What is impulsive online buying and how does it affect people?	Relevant documents contain information about how impulsive online shopping influences buyers in their daily life and how retailers can make use of these effects to increase profit and raise more interest among buyers. They also must include details about what specific circumstances (e.g. comfort, self-control, stress, source ..) increase or decrease the likelihood of impulsive online buying and which specific target groups or personas tend to intensify the effects of impulsive online buying.
56311e2226162fc29277c68b6e6e586b	effect of using tiktok on communication	Communications and Tiktok	How does TikTok influence different types of communication?	Relevant documents should discribe how TikTok the app can influence any or all types of communications. This includes language used, and non verbal communication of all kinds. Documents that give a more general overview or focus on more than one type of communication would be especially relevant.
6513b320bfbcd0ed11d192b17f985131	emotional intelligence and academic performance	emotional intelligence and academic performance	How does the capacity of emotional intelligence correlate with the potential for academic performance?	Studies or scientific researches about the correlation are relevant. Explanations and psychological articles are also relevant. Papers with undetailed or too general statistics are not relevant.
652d873a275fd4ba0504d141cf387c59	negative effects of social media	negative effects of social media	What are the negative effects of social media usage?	Relevant documents include the negative effects of social media usage regarding mental and physical health on different user groups. Furthermore given details should include whether specific groups like young adults, students etc. are affected more than others and if the effects are stronger on different personas. Also relevant details deal with how toxic social media habits can be tackled / overcome and how users can be more conscious about their social media habits.
67f8b0b8c80910677c062be26466333e	effects of social media algorithms	effects of social media	what effects does the usage social media and its algorithms have on its users and society.	A document will only be considered relevant if its contains information about design of social media (and/or design of social media algorithms) and its effects on its users. If document only contain information about social media algorithms (like technical side) will be considered irrelevant.
6d1f50ca1928f230f5e90b7573fedc85	sleep deprivation academic performance	Sleep and Academic Performance	How does sleep deprivation influence academic performance, learning ability and cognitive functioning?	Relevant documents analyze the relationship between insufficient sleep and academic outcomes such as grades, concentration, productivity or learning performance. Relevant documents include studies on sleep quality, sleep duration or cognitive performance. Documents focusing only on medical sleep disorders without discussing academic or educational effects are not relevant.
70a7a4c11f729b8ced811befa82aa2b7	digital technologies in rehabilitation	digital technologies in rehabilitation	find documents that contain information about how digital technology is used in or affects medical rehabilitation	i want to find information about digital technologies in rehabilitation. a relevant document must contain information about how digital technology is used in or affects medical rehabilitation, for example research, analysis or predictions in this field. documents containing information about both medical rehabilitation and digital technologies are highly relevant. documents only talking about general technology in rehabilitation are moderatly relevant. documents with information about technology or rehabilitaion are irrelevant
